,fighter1,fighter2,event_name,event_date,details,result,fighter_name
4,Kyle Noke,Keita Nakamura,UFC Fight Night McDonald vs Lineker,"Jul 13, 2016",Live on TSN 2,Win,Keita Nakamura
5,Tom Breese,Keita Nakamura,UFC Fight Night Silva vs. Bisping,"Feb 27, 2016",Live on Fight Network,Loss,Keita Nakamura
6,Keita Nakamura,Li Jingliang,UFC Fight Night Nelson vs. Barnett,"Sep 26, 2015",TSN 5,Win,Keita Nakamura
7,Keita Nakamura,Adriano Martins,DREAM 6,"Sep 23, 2008",Middleweight Grand Prix 2008 Final Round,Win,Keita Nakamura
8,Rob Emerson,Keita Nakamura,UFC® 81,"Feb 2, 2008",BREAKING POINT,Loss,Keita Nakamura
9,Drew Fickett,Keita Nakamura,UFC® Fight Night™,"Apr 5, 2007",STEVENSON vs GUILLARD,Loss,Keita Nakamura
10,Brock Larson,Keita Nakamura,UFC® Fight Night™,"Dec 13, 2006",SANCHEZ vs RIGGS,Loss,Keita Nakamura
0,Rose Namajunas,Joanna Jedrzejczyk,UFC 223 Khabib vs Iaquinta,"Apr 7, 2018",Live on Pay-Per-View,,Rose Namajunas
1,Joanna Jedrzejczyk,Rose Namajunas,UFC 217 Bisping vs St-Pierre,"Nov 4, 2017",Live on Pay-Per-View,,Rose Namajunas
2,Rose Namajunas,Michelle Waterson,UFC Fight Night Johnson vs Reis,"Apr 15, 2017",Live on CTV TWO & TSN 5,Win,Rose Namajunas
3,Rose Namajunas,Karolina Kowalkiewicz,UFC 201 Lawler vs. Woodley,"Jul 30, 2016",Live on Pay-Per-View,Loss,Rose Namajunas
